product_id,name,category,price
1,Deluxe Chair,Home,289.01
2,Portable Chair,Electronics,58.26
3,Vintage Sunglasses,Home,165.06
4,Eco Lamp,Automotive,268.52
5,Eco Fitness Band,Fashion,121.71
6,Classic Cookware,Automotive,226.53
7,Compact Monitor,Electronics,51.3
8,Compact Headphones,Sports,386.83
9,Compact Blender,Fashion,373.88
10,Deluxe Drone,Sports,316.06
11,Deluxe Speaker,Fashion,52.57
12,Deluxe Watch,Outdoors,100.73
13,Eco Tent,Toys,246.35
14,Deluxe Headphones,Automotive,170.9
15,Premium Sneakers,Beauty,176.09
16,Portable Fitness Band,Electronics,187.02
17,Vintage Watch,Toys,102.3
18,Portable Desk,Automotive,51.06
19,Classic Backpack,Toys,241.83
20,Compact Camera,Outdoors,131.03
21,Classic Lamp,Toys,369.18
22,Compact Lamp,Beauty,69.91
23,Smart Lamp,Outdoors,18.25
24,Premium Camera,Sports,30.82
25,Smart Blender,Home,275.48
26,Smart Chair,Toys,206.77
27,Portable Desk,Outdoors,341.94
28,Premium Cookware,Beauty,102.33
29,Compact Watch,Home,232.78
30,Smart Jacket,Automotive,155.71
31,Classic Tent,Electronics,49.65
32,Deluxe Backpack,Electronics,370.69
33,Portable Backpack,Electronics,338.99
34,Classic Watch,Toys,322.79
35,Vintage Chair,Automotive,260.57
36,Deluxe Headphones,Beauty,219.07
37,Eco Tent,Home,344.45
38,Smart Chair,Toys,259.43
39,Compact Watch,Fashion,64.51
40,Smart Lamp,Fashion,100.7
41,Eco Sneakers,Fashion,152.89
42,Eco Drone,Sports,277.44
43,Compact Jacket,Fashion,380.05
44,Classic Desk,Sports,138.06
45,Smart Tent,Fashion,340.94
46,Portable Camera,Fashion,217.76
47,Deluxe Monitor,Toys,122.38
48,Portable Speaker,Home,280.97
49,Vintage Desk,Home,61.52
50,Vintage Monitor,Automotive,293.03
51,Vintage Backpack,Electronics,375.02
52,Compact Fitness Band,Sports,322.34
53,Smart Blender,Automotive,315.22
54,Deluxe Sunglasses,Automotive,108.82
55,Portable Blender,Automotive,47.07
56,Vintage Camera,Beauty,230.33
57,Premium Blender,Home,191.73
58,Vintage Headphones,Sports,321.71
59,Vintage Cookware,Toys,243.84
60,Classic Desk,Home,55.67
61,Portable Backpack,Electronics,266.57
62,Smart Sunglasses,Sports,271.78
63,Portable Sneakers,Toys,360.36
64,Deluxe Monitor,Toys,152.03
65,Vintage Jacket,Outdoors,71.47
66,Compact Backpack,Automotive,180.78
67,Portable Sneakers,Automotive,294.58
68,Vintage Fitness Band,Home,314.32
69,Vintage Cookware,Automotive,156.78
70,Classic Speaker,Sports,380.97
